    0.257174677779674530E+07    0.345578632677488122E+07    0.270635314941406250E+03    0.229179834869384763E+03    0.252385616302490234E+00    0.191685276329517365E+03   -0.360160010210626125E+08   -0.391195633965034517E+01    1
    0.258904563921689987E+07    0.345572069172883779E+07    0.276529251098632812E+03    0.156539413803100587E+03    0.391860485076904297E+00    0.337532868981361389E+03   -0.360074622263646275E+08   -0.393195633965034208E+01    1
    0.224382538989782333E+07    0.345575969018944493E+07    0.304445951461791992E+03    0.261515964078903153E+03    0.972529053688049316E+00    0.138217957317829132E+03   -0.360072709362604246E+08   -0.395195633965034165E+01    1
    0.225027876048088074E+07    0.345573192445258563E+07    0.220376175880432129E+03    0.321570388368606530E+03    0.986761748790740967E+00    0.311872352659702301E+03   -0.360003316285941377E+08   -0.397195633965034300E+01    1
    0.217657891757488251E+07    0.345572913115671137E+07    0.199705647468566895E+03    0.316035158855438226E+03    0.430488228797912598E+00    0.170225980579853058E+03   -0.359901499512871206E+08   -0.399195633965034391E+01    1
    0.196241082704067230E+07    0.345572876394582912E+07    0.194492203712463379E+03    0.296130884408950806E+03    0.965734899044036865E+00    0.293437772989273071E+03   -0.359719633561596498E+08   -0.401195633965034215E+01    1
    0.223191690715551376E+07    0.345575580188108468E+07    0.248427048683166504E+03    0.219672966634750367E+03    0.259798526763916016E+00    0.243967888951301575E+03   -0.359716144600233287E+08   -0.403195633965034173E+01    1
    0.194580978635549545E+07    0.345571738037963863E+07    0.261073834419250488E+03    0.174388753170013416E+03    0.609211921691894531E-01    0.889658477902412415E+02   -0.359674928995776176E+08   -0.405195633965034396E+01    1
    0.255088556165695190E+07    0.345574230341865262E+07    0.138894113540649414E+03    0.235674297046661366E+03    0.537498831748962402E+00    0.252815603911876678E+03   -0.359645607555051073E+08   -0.407195633965034443E+01    1
    0.162268440607786179E+07    0.345576593230893323E+07    0.237381614685058594E+03    0.320119900054931577E+03    0.801579654216766357E+00    0.967859759926795959E+02   -0.359576796092699319E+08   -0.409195633965034400E+01    1
