    0.206531415633044729E+06    0.345575192175475135E+07    0.224850546440457663E+03    0.231850510672488525E+03    0.385360555962562523E+00    0.723045140489549851E+02    0.101950410432962215E+02    0.419244663807573943E+03    0.628812530535034164E+00    0.285096414277862721E+03    0.565731107793427390E-01   -0.357736156743693277E+08
    0.209282691474893974E+06    0.345575192474922584E+07    0.215886017255623443E+03    0.241377492769236028E+03    0.448460213100530358E+00    0.480984579197462594E+02    0.108928568297228274E+02    0.419134073644502507E+03    0.631760423747126931E+00    0.279022772948059071E+03    0.490723547955964623E-01   -0.357736151202011928E+08
    0.211283827150940109E+06    0.345575191506204987E+07    0.222007270089881217E+03    0.233711403788944807E+03    0.377843647541708794E+00    0.844798574578784240E+02    0.103121839651028857E+02    0.418133540079092427E+03    0.604212959019503004E+00    0.279977749064679585E+03    0.479090949867552879E-01   -0.357736143829907030E+08
    0.210976645194338809E+06    0.345575192097284738E+07    0.226217963717079101E+03    0.229991538928311201E+03    0.486876849074168561E+00    0.518386551012440009E+02    0.991491612563030600E+01    0.418990152650787024E+03    0.616296751534418319E+00    0.274488735627723713E+03    0.547913064768787358E-01   -0.357736142606499791E+08
    0.211447926084424747E+06    0.345575191993768141E+07    0.220750966882194660E+03    0.232200264405902658E+03    0.409852083050218030E+00    0.929176136120228051E+02    0.953340743958094983E+01    0.417971933120373478E+03    0.629650915773712683E+00    0.277677397356354049E+03    0.545004335441238164E-01   -0.357736142042394429E+08
    0.206943893648678320E+06    0.345575191973672854E+07    0.217832608674441843E+03    0.240117540976207380E+03    0.219496174423199492E+00    0.106451371021386962E+03    0.954078965861637585E+01    0.418130870279613418E+03    0.633676641184790057E+00    0.275108466222198047E+03    0.523258963724274259E-01   -0.357736140385786816E+08
    0.206822733240670379E+06    0.345575192556227790E+07    0.221663331596625142E+03    0.231440734863695809E+03    0.158534226630497987E+00    0.796693644327841888E+01    0.100392297540187165E+02    0.418288867084511594E+03    0.661822379646628156E+00    0.280376836904741594E+03    0.562540266283644563E-01   -0.357736137650955617E+08
    0.205525068841063447E+06    0.345575192364870431E+07    0.216169540186576455E+03    0.239896946248777141E+03    0.241158917554854774E+00    0.928077639594548316E+02    0.988583009270153212E+01    0.418523438454819370E+03    0.608771695286578263E+00    0.277773177788674502E+03    0.589364756786998900E-01   -0.357736136828871444E+08
    0.209240113387187506E+06    0.345575192421853449E+07    0.221874021240330990E+03    0.232792111835384958E+03    0.176975567283469026E+00    0.520156210810813633E+02    0.119749681526017380E+02    0.418144816648623305E+03    0.631974058408796946E+00    0.280414205119482347E+03    0.635839309130488001E-01   -0.357736131541866809E+08
    0.207591325925801677E+06    0.345575193488386646E+07    0.220806235602811881E+03    0.231645984940492212E+03    0.393080971513062316E+00    0.735228532330443585E+02    0.100491858553569937E+02    0.418756161262928799E+03    0.657879054994103374E+00    0.278446374827716625E+03    0.566919025983579697E-01   -0.357736127477710247E+08
    0.206654918568453606E+06    0.345575193304567412E+07    0.227503173362570010E+03    0.223431649872417069E+03    0.183092702734203333E+00    0.783610335445306845E+02    0.980913748145657927E+01    0.417110335880342859E+03    0.613686527359991629E+00    0.277206798316927802E+03    0.544327579756316363E-01   -0.357736127390022203E+08
    0.207621726211580448E+06    0.345575193225538358E+07    0.224172130202516428E+03    0.231504001801932816E+03    0.210879534784017914E+00    0.740307690134354175E+02    0.937239469741319553E+01    0.417768128167936482E+03    0.601377818472662695E+00    0.274869725251509806E+03    0.524374505215116360E-01   -0.357736125834729895E+08
    0.206919210877717298E+06    0.345575193194714375E+07    0.219295629948541148E+03    0.232245136367818304E+03    0.423437726066756726E+00    0.419996915123085799E+02    0.108730597631980217E+02    0.416686034677110626E+03    0.611322757090453361E+00    0.281387709390182579E+03    0.549986050079175406E-01   -0.357736124739556015E+08
    0.207255854748472018E+06    0.345575193120773556E+07    0.215305586747558579E+03    0.234752657310027303E+03    0.348787369328486807E+00    0.728645210718252088E+02    0.102734765622955049E+02    0.417306365712011711E+03    0.631977946077752262E+00    0.279600759992330154E+03    0.505802508138673071E-01   -0.357736123492890894E+08
